Crossover Probability (p),Empirical BER
0.001,0.00003000
0.002,0.00001000
0.003,0.00004000
0.004,0.00011000
0.005,0.00002000
0.006,0.00013000
0.007,0.00006000
0.008,0.00012000
0.009,0.00009000
0.010,0.00007000
0.011,0.00030000
0.012,0.00023000
0.013,0.00036000
0.014,0.00044000
0.015,0.00030000
0.016,0.00030000
0.017,0.00060000
0.018,0.00061000
0.019,0.00071000
0.020,0.00098000
0.021,0.00096000
0.022,0.00097000
0.023,0.00132000
0.024,0.00111000
0.025,0.00145000
0.026,0.00150000
0.027,0.00143000
0.028,0.00180000
0.029,0.00172000
0.030,0.00230000
0.031,0.00220000
0.032,0.00265000
0.033,0.00316000
0.034,0.00301000
0.035,0.00318000
0.036,0.00350000
0.037,0.00393000
0.038,0.00364000
0.039,0.00420000
0.040,0.00431000
0.041,0.00491000
0.042,0.00492000
0.043,0.00608000
0.044,0.00643000
0.045,0.00730000
0.046,0.00629000
0.047,0.00701000
0.048,0.00869000
0.049,0.00860000
0.050,0.00890000
0.051,0.01050000
0.052,0.00944000
0.053,0.01153000
0.054,0.01214000
0.055,0.01177000
0.056,0.01176000
0.057,0.01312000
0.058,0.01252000
0.059,0.01395000
0.060,0.01583000
0.061,0.01537000
0.062,0.01777000
0.063,0.01765000
0.064,0.01883000
0.065,0.02027000
0.066,0.02003000
0.067,0.02160000
0.068,0.02168000
0.069,0.02301000
0.070,0.02399000
0.071,0.02551000
0.072,0.02628000
0.073,0.02814000
0.074,0.02768000
0.075,0.02859000
0.076,0.03154000
0.077,0.03237000
0.078,0.03501000
0.079,0.03393000
0.080,0.03652000
0.081,0.03908000
0.082,0.03891000
0.083,0.03777000
0.084,0.04259000
0.085,0.04306000
0.086,0.04635000
0.087,0.04471000
0.088,0.04678000
0.089,0.04854000
0.090,0.05161000
0.091,0.05120000
0.092,0.05354000
0.093,0.05585000
0.094,0.05615000
0.095,0.05607000
0.096,0.05792000
0.097,0.06101000
0.098,0.06458000
0.099,0.06408000
0.100,0.06835000
0.101,0.06815000
0.102,0.06917000
0.103,0.07037000
0.104,0.07195000
0.105,0.07782000
0.106,0.07946000
0.107,0.07934000
0.108,0.08571000
0.109,0.08553000
0.110,0.08584000
0.111,0.08787000
0.112,0.09347000
0.113,0.09360000
0.114,0.09060000
0.115,0.09534000
0.116,0.10050000
0.117,0.10237000
0.118,0.10401000
0.119,0.10320000
0.120,0.10493000
0.121,0.11034000
0.122,0.10978000
0.123,0.11464000
0.124,0.11413000
0.125,0.11994000
0.126,0.12003000
0.127,0.12483000
0.128,0.12837000
0.129,0.13036000
0.130,0.12929000
0.131,0.13346000
0.132,0.13500000
0.133,0.13614000
0.134,0.13415000
0.135,0.14141000
0.136,0.14183000
0.137,0.14351000
0.138,0.14869000
0.139,0.14890000
0.140,0.15488000
0.141,0.15419000
0.142,0.15840000
0.143,0.16297000
0.144,0.16455000
0.145,0.16468000
0.146,0.16371000
0.147,0.16749000
0.148,0.17360000
0.149,0.17274000
0.150,0.17833000
0.151,0.17820000
0.152,0.18280000
0.153,0.18474000
0.154,0.18837000
0.155,0.19760000
0.156,0.18707000
0.157,0.19798000
0.158,0.19088000
0.159,0.19594000
0.160,0.20266000
0.161,0.20663000
0.162,0.20469000
0.163,0.21025000
0.164,0.20724000
0.165,0.21378000
0.166,0.21717000
0.167,0.22151000
0.168,0.21679000
0.169,0.22081000
0.170,0.22162000
0.171,0.22752000
0.172,0.22924000
0.173,0.22699000
0.174,0.23158000
0.175,0.23610000
0.176,0.23748000
0.177,0.23541000
0.178,0.24135000
0.179,0.24071000
0.180,0.24792000
0.181,0.25079000
0.182,0.24705000
0.183,0.25424000
0.184,0.25344000
0.185,0.25960000
0.186,0.25926000
0.187,0.25852000
0.188,0.26378000
0.189,0.26656000
0.190,0.27238000
0.191,0.26703000
0.192,0.26943000
0.193,0.27762000
0.194,0.27711000
0.195,0.27857000
0.196,0.27894000
0.197,0.28551000
0.198,0.29346000
0.199,0.28444000
0.200,0.28950000
0.201,0.28804000
0.202,0.29640000
0.203,0.29658000
0.204,0.30117000
0.205,0.29825000
0.206,0.29840000
0.207,0.29966000
0.208,0.30654000
0.209,0.30541000
0.210,0.30774000
0.211,0.31143000
0.212,0.31237000
0.213,0.32098000
0.214,0.31585000
0.215,0.32037000
0.216,0.32031000
0.217,0.32017000
0.218,0.32323000
0.219,0.32679000
0.220,0.33317000
0.221,0.33048000
0.222,0.33126000
0.223,0.33037000
0.224,0.33027000
0.225,0.33789000
0.226,0.33988000
0.227,0.34186000
0.228,0.34302000
0.229,0.33893000
0.230,0.34619000
0.231,0.34557000
0.232,0.34975000
0.233,0.35110000
0.234,0.35154000
0.235,0.35485000
0.236,0.35572000
0.237,0.35755000
0.238,0.35725000
0.239,0.36417000
0.240,0.36401000
0.241,0.36187000
0.242,0.36098000
0.243,0.36162000
0.244,0.37038000
0.245,0.36778000
0.246,0.37427000
0.247,0.37667000
0.248,0.37510000
0.249,0.37004000
0.250,0.37648000
0.251,0.38081000
0.252,0.37499000
0.253,0.37980000
0.254,0.37993000
0.255,0.38229000
0.256,0.38674000
0.257,0.38484000
0.258,0.38652000
0.259,0.38384000
0.260,0.39067000
0.261,0.39392000
0.262,0.38825000
0.263,0.39295000
0.264,0.39304000
0.265,0.40007000
0.266,0.39831000
0.267,0.39523000
0.268,0.39844000
0.269,0.40323000
0.270,0.40477000
0.271,0.40353000
0.272,0.40425000
0.273,0.40754000
0.274,0.40426000
0.275,0.40186000
0.276,0.40887000
0.277,0.40889000
0.278,0.40830000
0.279,0.41071000
0.280,0.41232000
0.281,0.41538000
0.282,0.41456000
0.283,0.41671000
0.284,0.41525000
0.285,0.41751000
0.286,0.42270000
0.287,0.42172000
0.288,0.42007000
0.289,0.41902000
0.290,0.42139000
0.291,0.43032000
0.292,0.42892000
0.293,0.42759000
0.294,0.42668000
0.295,0.42976000
0.296,0.42972000
0.297,0.42662000
0.298,0.42860000
0.299,0.43216000
0.300,0.43186000
0.301,0.43455000
0.302,0.43584000
0.303,0.43365000
0.304,0.43110000
0.305,0.43475000
0.306,0.43428000
0.307,0.43530000
0.308,0.43669000
0.309,0.44172000
0.310,0.44121000
0.311,0.44003000
0.312,0.44132000
0.313,0.44431000
0.314,0.44204000
0.315,0.44113000
0.316,0.44760000
0.317,0.44817000
0.318,0.44402000
0.319,0.44742000
0.320,0.44640000
0.321,0.44742000
0.322,0.45051000
0.323,0.44966000
0.324,0.44949000
0.325,0.45124000
0.326,0.45469000
0.327,0.45513000
0.328,0.45616000
0.329,0.45423000
0.330,0.45509000
0.331,0.45569000
0.332,0.45839000
0.333,0.45914000
0.334,0.45862000
0.335,0.45972000
0.336,0.45722000
0.337,0.45757000
0.338,0.45958000
0.339,0.45719000
0.340,0.46094000
0.341,0.46163000
0.342,0.46275000
0.343,0.46298000
0.344,0.46318000
0.345,0.46391000
0.346,0.46845000
0.347,0.46424000
0.348,0.46529000
0.349,0.46763000
0.350,0.46662000
0.351,0.46951000
0.352,0.46728000
0.353,0.46837000
0.354,0.46809000
0.355,0.46632000
0.356,0.47197000
0.357,0.47160000
0.358,0.47240000
0.359,0.46608000
0.360,0.47599000
0.361,0.47417000
0.362,0.47567000
0.363,0.47358000
0.364,0.47471000
0.365,0.47505000
0.366,0.47168000
0.367,0.46984000
0.368,0.47534000
0.369,0.47880000
0.370,0.47681000
0.371,0.47228000
0.372,0.47720000
0.373,0.47919000
0.374,0.47866000
0.375,0.47665000
0.376,0.48020000
0.377,0.47755000
0.378,0.47938000
0.379,0.48004000
0.380,0.48003000
0.381,0.47840000
0.382,0.48155000
0.383,0.48496000
0.384,0.48035000
0.385,0.48347000
0.386,0.48343000
0.387,0.48762000
0.388,0.47960000
0.389,0.48147000
0.390,0.48223000
0.391,0.48332000
0.392,0.48570000
0.393,0.48329000
0.394,0.48438000
0.395,0.48709000
0.396,0.48635000
0.397,0.48387000
0.398,0.48562000
0.399,0.48369000
0.400,0.48705000
0.401,0.48438000
0.402,0.48788000
0.403,0.48544000
0.404,0.48766000
0.405,0.48854000
0.406,0.49183000
0.407,0.48903000
0.408,0.48805000
0.409,0.48951000
0.410,0.48919000
0.411,0.48799000
0.412,0.49107000
0.413,0.48677000
0.414,0.49028000
0.415,0.48792000
0.416,0.49047000
0.417,0.49116000
0.418,0.49049000
0.419,0.49203000
0.420,0.49494000
0.421,0.49167000
0.422,0.48961000
0.423,0.49196000
0.424,0.49274000
0.425,0.49317000
0.426,0.49021000
0.427,0.49334000
0.428,0.49747000
0.429,0.49491000
0.430,0.49387000
0.431,0.49422000
0.432,0.49261000
0.433,0.49596000
0.434,0.49409000
0.435,0.49345000
0.436,0.49479000
0.437,0.49495000
0.438,0.49574000
0.439,0.49551000
0.440,0.49494000
0.441,0.49489000
0.442,0.49597000
0.443,0.49507000
0.444,0.49847000
0.445,0.49369000
0.446,0.49511000
0.447,0.49704000
0.448,0.49868000
0.449,0.49588000
0.450,0.49615000
0.451,0.49904000
0.452,0.49640000
0.453,0.49632000
0.454,0.49517000
0.455,0.49493000
0.456,0.49699000
0.457,0.49584000
0.458,0.50005000
0.459,0.49725000
0.460,0.49770000
0.461,0.49669000
0.462,0.49966000
0.463,0.49759000
0.464,0.49878000
0.465,0.49838000
0.466,0.49994000
0.467,0.49916000
0.468,0.49609000
0.469,0.49933000
0.470,0.49793000
0.471,0.50066000
0.472,0.49985000
0.473,0.50086000
0.474,0.50027000
0.475,0.49975000
0.476,0.49888000
0.477,0.49594000
0.478,0.49946000
0.479,0.49891000
0.480,0.50278000
0.481,0.50014000
0.482,0.49922000
0.483,0.50311000
0.484,0.50011000
0.485,0.50059000
0.486,0.49759000
0.487,0.50057000
0.488,0.50227000
0.489,0.49799000
0.490,0.50307000
0.491,0.50138000
0.492,0.50021000
0.493,0.50139000
0.494,0.50127000
0.495,0.49842000
0.496,0.50035000
0.497,0.49988000
0.498,0.49912000
